order_date_new,brand,product_category,new_customer_gender,new_shoe_size,new_country,sales_channel,quantity,unit_price,revenue,payment_method,new_loyalty_member,returned_flag_bool
2023-04-25,ASICS,Running,Unkown,8,Germany,Online,3,79.99,239.97,Credit Card,Yes,1
2023-08-27,Adidas,Casual,M,10,Germany,Mobile App,1,,,UPI,Yes,1
2024-03-08,Under Armour,Basketball,M,8,Germany,Online,3,79.99,239.97,UPI,Yes,
2023-09-28,Nike,Football,M,11,IND,Mobile App,,,,Debit Card,Yes,1
2023-08-22,Reebok,Basketball,M,8.5,USA,Store,1,79.99,79.99,UPI,No,
2023-10-01,ASICS,Training,F,10,USA,Web,1,,,Cash,Yes,
2023-08-13,Nike,Basketball,M,11,USA,Offline,3,59.99,179.97,PayPal,Yes,1
2024-05-26,Puma,Training,F,11,Germany,Mobile App,,79.99,,Cash,Yes,1
2023-05-22,Under Armour,Running,M,9,USA,unknown,,59.99,,Cash,N/A,1
2024-01-30,Puma,Casual,M,8,Unkown,Store,,,,Unknown,Yes,1
2023-10-28,ASICS,Basketball,F,9,Unkown,Online,2,120.50,241.00,Unknown,Yes,
2024-06-03,Adidas,Casual,F,7,IND,Web,2,79.99,159.98,Credit Card,Yes,0
2023-11-11,Nike,Running,Unkown,N/A,USA,Mobile App,1,79.99,79.99,Debit Card,No,
2024-05-01,New Balance,Football,F,10,IND,Web,2,99.99,199.98,Unknown,Yes,0
2024-06-13,Puma,Running,F,10,UK,Online,1,79.99,79.99,Credit Card,Yes,1
2023-03-11,Puma,Football,F,9,Germany,Offline,3,59.99,179.97,Cash,No,1
2023-04-07,Reebok,Football,M,7,USA,Online,,99.99,,Cash,Yes,1
2023-09-12,Reebok,Training,M,9,IND,Web,2,,,Debit Card,Yes,0
2023-04-11,Under Armour,Training,F,9.5,Germany,Web,1,59.99,59.99,Debit Card,No,1
2023-06-18,Under Armour,Football,Other,9.5,Unkown,unknown,1,120.50,120.50,Unknown,No,1
2023-07-14,New Balance,Running,Unkown,8.5,USA,Online,2,59.99,119.98,PayPal,No,
2024-06-27,Nike,Training,M,8,UK,Web,1,,,Credit Card,N/A,1
2023-02-10,New Balance,Casual,Other,11,UK,unknown,1,120.50,120.50,Unknown,Yes,1
2023-09-29,Under Armour,Running,M,N/A,USA,Online,2,99.99,199.98,PayPal,No,
2023-09-29,Puma,Basketball,F,N/A,Unkown,unknown,3,59.99,179.97,UPI,N/A,
2024-06-25,Adidas,Basketball,M,8,Unkown,Offline,3,59.99,179.97,UPI,Yes,
2023-08-04,Under Armour,Basketball,F,N/A,IND,Online,3,79.99,239.97,Credit Card,No,0
2023-02-15,Puma,Training,Unkown,N/A,Unkown,unknown,3,79.99,239.97,Cash,N/A,1
2023-04-25,Nike,Basketball,F,9,Germany,Offline,2,,,Credit Card,Yes,0
2023-02-10,Puma,Casual,M,9,UK,Offline,2,79.99,159.98,Debit Card,No,1
2023-07-03,Under Armour,Training,Other,9,USA,Web,3,120.50,361.50,Credit Card,No,1
2023-07-24,Under Armour,Training,F,7,UK,Web,3,99.99,299.97,UPI,Yes,1
2023-10-13,Puma,Running,M,11,USA,Mobile App,,,,UPI,Yes,1
2024-03-20,New Balance,Running,M,10,IND,Online,3,120.50,361.50,Unknown,No,1
2024-06-16,ASICS,Basketball,F,8.5,USA,unknown,2,99.99,199.98,UPI,N/A,0
2024-02-23,New Balance,Training,F,9.5,Germany,unknown,,99.99,,Unknown,No,
2023-11-05,Reebok,Casual,F,8.5,Germany,Web,1,99.99,99.99,Cash,No,
2024-04-29,ASICS,Casual,Other,8,UK,unknown,2,59.99,119.98,UPI,No,1
2023-05-31,New Balance,Running,M,9.5,UK,unknown,1,79.99,79.99,Unknown,No,0
2024-02-14,Under Armour,Running,M,10,USA,unknown,2,59.99,119.98,PayPal,No,1
2023-09-13,Under Armour,Football,Unkown,8.5,Germany,Mobile App,,79.99,,Unknown,N/A,0
2024-04-01,Puma,Training,Unkown,11,Unkown,Web,,120.50,,Unknown,No,0
2024-03-26,Puma,Casual,M,9,USA,Offline,3,79.99,239.97,Cash,No,
2023-08-08,Puma,Casual,M,9.5,USA,Offline,,120.50,,Cash,No,
2023-01-21,Nike,Basketball,Other,9.5,Germany,Mobile App,,120.50,,Unknown,N/A,
2023-08-14,Nike,Football,Other,9.5,USA,Web,2,99.99,199.98,Debit Card,N/A,
2023-01-28,Adidas,Football,F,7,IND,Web,1,59.99,59.99,UPI,No,0
2023-12-01,Under Armour,Football,Other,8,Germany,Online,,99.99,,Unknown,N/A,1
2023-12-25,Adidas,Training,M,9,UK,Offline,1,59.99,59.99,Cash,Yes,
2023-08-12,New Balance,Running,F,11,USA,Mobile App,3,99.99,299.97,Credit Card,Yes,
2024-01-20,Under Armour,Training,M,11,USA,Mobile App,2,59.99,119.98,Credit Card,Yes,
2024-03-14,Puma,Running,M,N/A,USA,Web,3,59.99,179.97,UPI,No,
2023-06-06,ASICS,Basketball,F,N/A,Germany,Web,2,,,Unknown,N/A,0
2023-11-27,Adidas,Football,F,9.5,IND,Online,1,99.99,99.99,Cash,Yes,1
2024-05-14,New Balance,Basketball,F,7,Unkown,Offline,3,99.99,299.97,Credit Card,No,
2024-02-21,Reebok,Football,M,8,IND,Offline,2,120.50,241.00,Cash,No,0
2024-01-13,New Balance,Basketball,Other,N/A,IND,Store,3,120.50,361.50,UPI,No,1
2023-07-17,Under Armour,Training,F,10,Germany,Store,1,,,Unknown,N/A,
2023-10-17,Adidas,Basketball,M,9,IND,Online,2,99.99,199.98,Credit Card,N/A,0
2023-05-10,Under Armour,Running,F,11,Germany,Web,,59.99,,Cash,Yes,1
2023-02-22,Under Armour,Running,M,N/A,USA,Mobile App,,59.99,,Unknown,Yes,1
2023-06-02,Nike,Casual,M,10,Unkown,Web,3,59.99,179.97,Cash,No,0
2024-03-15,ASICS,Running,F,10,IND,unknown,1,,,Credit Card,No,1
2023-06-27,Reebok,Casual,M,11,USA,Offline,1,79.99,79.99,UPI,Yes,
2024-04-09,ASICS,Casual,Unkown,10,Germany,Online,2,99.99,199.98,PayPal,No,
2023-06-02,Under Armour,Basketball,F,11,Germany,Online,2,59.99,119.98,Cash,Yes,
2024-02-17,Nike,Casual,M,9.5,IND,Mobile App,,120.50,,UPI,Yes,1
2023-08-23,Under Armour,Training,M,N/A,IND,Offline,1,99.99,99.99,PayPal,No,
2024-05-18,Reebok,Basketball,Other,8,USA,Store,,99.99,,Cash,No,0
2024-02-15,Puma,Basketball,M,9.5,Unkown,Online,1,120.50,120.50,Unknown,N/A,0
2024-02-28,Puma,Casual,M,N/A,USA,Offline,2,,,UPI,N/A,1
2023-10-22,Nike,Casual,F,9,IND,Mobile App,,59.99,,Credit Card,N/A,0
2023-04-06,ASICS,Training,M,11,Unkown,unknown,1,120.50,120.50,UPI,No,0
2024-04-28,Adidas,Football,F,9,USA,Store,,,,Cash,Yes,
2023-10-01,New Balance,Football,F,N/A,Unkown,Web,3,99.99,299.97,UPI,Yes,
2024-01-22,Adidas,Casual,M,10,Germany,Online,3,79.99,239.97,UPI,No,
2024-01-26,Adidas,Casual,F,8.5,USA,Web,2,120.50,241.00,Credit Card,N/A,0
2023-01-16,Adidas,Running,M,11,IND,Mobile App,2,120.50,241.00,Unknown,No,
2023-03-24,ASICS,Football,F,7,USA,Offline,,99.99,,Unknown,Yes,1
2023-04-03,ASICS,Basketball,M,7,IND,Online,1,59.99,59.99,UPI,Yes,0
2024-03-17,Reebok,Casual,Unkown,9,USA,Offline,2,,,Credit Card,N/A,0
2023-09-04,Puma,Football,Other,7,Germany,Store,2,79.99,159.98,Unknown,N/A,1
2023-03-17,Puma,Football,Unkown,11,Germany,Store,3,,,Debit Card,No,0
2023-04-20,Puma,Casual,Other,11,USA,unknown,,,,Cash,Yes,1
2023-02-20,Under Armour,Training,F,8.5,UK,unknown,,99.99,,Debit Card,N/A,0
2023-05-21,Reebok,Running,F,8.5,USA,Online,1,59.99,59.99,UPI,Yes,
2024-03-01,Puma,Casual,F,11,USA,Store,2,79.99,159.98,Cash,Yes,
2023-12-13,Adidas,Training,Unkown,9.5,Unkown,Store,,59.99,,Credit Card,No,1
2023-09-28,ASICS,Basketball,F,9.5,IND,Online,1,120.50,120.50,Unknown,No,0
2023-01-26,Adidas,Running,Unkown,N/A,IND,unknown,3,,,Cash,Yes,1
2023-02-16,Adidas,Casual,F,9.5,Germany,Store,3,120.50,361.50,Unknown,N/A,0
2023-06-08,Puma,Running,Unkown,8.5,UK,Web,1,120.50,120.50,Cash,No,0
2023-04-12,ASICS,Basketball,M,9.5,IND,Offline,3,,,Credit Card,No,1
2023-08-06,Adidas,Training,F,10,USA,Mobile App,1,59.99,59.99,Debit Card,N/A,1
2023-08-27,Nike,Basketball,F,9,Unkown,Store,2,,,Debit Card,Yes,
2023-01-27,Adidas,Casual,Other,7,USA,Store,1,99.99,99.99,Credit Card,No,
2024-03-07,Under Armour,Basketball,F,8,Germany,Mobile App,1,59.99,59.99,Debit Card,N/A,1
2024-06-17,Nike,Football,M,9.5,USA,Web,,59.99,,Unknown,No,1
2023-03-24,New Balance,Casual,F,8.5,Germany,Mobile App,2,59.99,119.98,PayPal,Yes,0
2024-06-01,Under Armour,Running,Unkown,10,Germany,Web,,59.99,,Debit Card,No,0
2024-04-09,Puma,Football,Other,11,IND,Offline,,59.99,,Unknown,No,1
2023-04-04,ASICS,Basketball,F,7,Unkown,Mobile App,1,120.50,120.50,UPI,Yes,0
2023-12-29,Puma,Casual,Other,8.5,USA,Mobile App,,59.99,,PayPal,No,1
2024-05-08,Puma,Running,Other,10,Germany,Mobile App,1,99.99,99.99,PayPal,N/A,
2023-01-27,ASICS,Basketball,Other,8.5,USA,Offline,3,59.99,179.97,Debit Card,N/A,
2024-02-15,New Balance,Training,M,9.5,Germany,Store,2,59.99,119.98,Debit Card,Yes,0
2023-11-29,Under Armour,Casual,M,8,IND,Web,1,59.99,59.99,Unknown,No,0
2024-03-28,Nike,Basketball,M,8,IND,unknown,3,79.99,239.97,Unknown,N/A,0
2024-06-23,New Balance,Running,M,10,IND,Offline,3,59.99,179.97,Debit Card,Yes,0
2023-12-02,Adidas,Training,M,10,Unkown,Mobile App,1,120.50,120.50,Unknown,Yes,1
2024-02-11,Nike,Basketball,F,9.5,Germany,unknown,1,120.50,120.50,Unknown,No,0
2023-04-28,New Balance,Football,Unkown,8.5,USA,Web,1,99.99,99.99,Credit Card,No,0
2024-02-15,ASICS,Basketball,F,8.5,USA,Online,1,120.50,120.50,PayPal,Yes,
2024-06-06,Under Armour,Training,F,8,USA,Store,3,99.99,299.97,Debit Card,No,
2023-06-06,ASICS,Football,M,N/A,IND,unknown,1,79.99,79.99,UPI,No,0
2023-03-11,Under Armour,Basketball,F,7,IND,Mobile App,,99.99,,Credit Card,Yes,0
2024-04-07,Nike,Running,F,9.5,Germany,Mobile App,1,99.99,99.99,PayPal,Yes,0
2023-07-12,Adidas,Running,M,8,IND,unknown,,,,Credit Card,N/A,
2023-06-26,New Balance,Casual,F,9,IND,Store,2,120.50,241.00,UPI,No,0
2023-12-13,Nike,Casual,Unkown,9.5,IND,Store,1,99.99,99.99,Unknown,N/A,1
2023-12-08,ASICS,Football,F,8,IND,Mobile App,2,99.99,199.98,Cash,Yes,1
2024-06-23,Puma,Running,Other,11,USA,Offline,,,,UPI,No,1
2023-08-20,Under Armour,Running,F,7,IND,Mobile App,2,59.99,119.98,Debit Card,N/A,0
2023-06-07,Under Armour,Training,Unkown,N/A,USA,Web,2,,,UPI,No,0
2023-10-19,New Balance,Training,Other,N/A,UK,Store,,79.99,,Unknown,N/A,0
2024-04-17,New Balance,Football,F,10,USA,Store,,,,Credit Card,No,0
2023-04-16,Adidas,Basketball,M,9,Germany,Online,1,99.99,99.99,Debit Card,No,0
2023-01-28,Adidas,Football,M,8.5,UK,Online,1,120.50,120.50,UPI,Yes,
2023-12-10,Under Armour,Football,Unkown,9,Germany,Web,2,59.99,119.98,PayPal,Yes,1
2023-01-20,ASICS,Casual,F,9.5,USA,Store,2,79.99,159.98,Debit Card,Yes,1
2023-02-18,Reebok,Running,M,N/A,Unkown,Online,,,,Unknown,N/A,
2023-09-05,New Balance,Basketball,F,9.5,USA,unknown,2,99.99,199.98,Unknown,Yes,
2024-01-05,Nike,Football,Other,11,USA,Store,1,120.50,120.50,Credit Card,Yes,1
2023-04-17,New Balance,Basketball,Unkown,9,Germany,unknown,3,79.99,239.97,Cash,No,1
2023-03-06,Puma,Training,M,10,USA,Store,,59.99,,UPI,N/A,0
2024-04-29,Under Armour,Running,Unkown,8.5,IND,Online,1,79.99,79.99,UPI,No,0
2024-03-26,Reebok,Basketball,F,11,USA,unknown,3,79.99,239.97,Cash,Yes,0
2023-07-04,Puma,Basketball,Other,N/A,Germany,Offline,3,99.99,299.97,Unknown,No,0
2024-04-02,Reebok,Basketball,Unkown,7,USA,unknown,3,,,Unknown,No,0
2024-06-09,New Balance,Football,M,9,USA,Offline,2,59.99,119.98,Unknown,Yes,0
2024-01-28,Adidas,Football,Other,8.5,Germany,Online,1,,,PayPal,No,
2024-01-11,Nike,Running,Unkown,9,Germany,Mobile App,3,99.99,299.97,Cash,N/A,1
2023-09-26,New Balance,Basketball,Unkown,N/A,UK,Online,,79.99,,Debit Card,Yes,0
2023-06-26,Under Armour,Basketball,Unkown,8.5,USA,Mobile App,,59.99,,PayPal,Yes,0
2023-06-11,Nike,Training,F,10,Germany,Online,2,99.99,199.98,UPI,N/A,
2024-01-13,Nike,Running,Other,9.5,Germany,Mobile App,2,,,Cash,No,
2023-03-17,ASICS,Casual,Other,9,Unkown,unknown,3,59.99,179.97,PayPal,No,1
2024-03-19,Puma,Training,F,8.5,UK,Store,1,59.99,59.99,PayPal,Yes,1
2023-09-14,New Balance,Casual,M,9,USA,Offline,3,79.99,239.97,Unknown,N/A,
2023-12-12,ASICS,Casual,Other,10,Germany,Mobile App,1,59.99,59.99,Unknown,Yes,0
2023-10-24,Under Armour,Football,Other,N/A,USA,unknown,3,120.50,361.50,Credit Card,No,0
2024-03-01,Puma,Casual,F,8.5,IND,unknown,,79.99,,UPI,No,1
2024-01-15,Nike,Basketball,M,10,USA,Online,1,99.99,99.99,Credit Card,Yes,0
2024-03-04,ASICS,Basketball,F,9,Germany,Mobile App,2,99.99,199.98,Cash,No,0
2024-05-24,Adidas,Training,F,8.5,USA,Online,1,120.50,120.50,UPI,No,
2024-04-26,Puma,Basketball,M,8.5,USA,Web,1,59.99,59.99,Credit Card,N/A,
2023-07-19,Reebok,Casual,Other,8,USA,Online,3,59.99,179.97,Cash,Yes,0
2024-01-10,New Balance,Football,F,7,USA,Online,2,,,Debit Card,Yes,0
2024-06-15,New Balance,Training,Other,8.5,USA,Web,2,,,PayPal,Yes,
2023-12-11,Puma,Football,M,8.5,IND,unknown,,,,Credit Card,No,
2023-11-12,Reebok,Basketball,Unkown,10,USA,Mobile App,1,,,Cash,No,
2024-01-25,ASICS,Running,F,7,Germany,Store,2,59.99,119.98,Cash,No,0
2023-07-28,ASICS,Training,F,10,Unkown,Store,,59.99,,Unknown,No,
2024-01-21,Puma,Casual,Other,11,Germany,Offline,2,120.50,241.00,Debit Card,Yes,
2023-11-02,ASICS,Football,Other,N/A,IND,Mobile App,3,99.99,299.97,Unknown,Yes,0
2023-05-05,Under Armour,Basketball,F,11,USA,Store,,120.50,,Unknown,Yes,0
2024-03-28,Under Armour,Casual,Other,11,USA,Online,3,120.50,361.50,PayPal,N/A,1
2023-09-06,Reebok,Basketball,Unkown,N/A,USA,unknown,2,79.99,159.98,Debit Card,Yes,
2023-06-11,ASICS,Training,Other,8.5,IND,unknown,,120.50,,Credit Card,Yes,
